SYMBOL	GSM995221_AD01M001.CEL.gz	GSM995222_AD01M002.CEL.gz	GSM995223_AD01M003.CEL.gz	GSM995224_AD01M004.CEL.gz	GSM995225_AD01M005.CEL.gz	GSM995226_AD01M006.CEL.gz	GSM995227_AD01M007.CEL.gz	GSM995228_AD01M008.CEL.gz
Il1r2	9.70996085708958	9.499286450751082	8.653889303868064	8.677314646069375	6.766613470407129	7.282545606692835	7.030206641669894	7.114095037386811
Il1rl1	10.869457230817162	10.595727313994875	9.412765122965947	9.279133446860865	6.696681466390055	6.555740653688755	6.561949718719749	6.557071263195733
Il18rap	8.661484345148986	8.59649941781726	7.772801267783164	7.761332730608121	6.9757096403189	6.711794305628533	6.9871407408255095	6.770076907382548
Icos	11.556231662327864	11.62564656339504	11.010890884198988	10.862727420035196	8.990778336603638	9.69569508340462	9.515691463820417	9.177715887004345
Fam129a	10.466854596675796	10.324923835079774	9.845083056754689	9.640510963686602	8.449837955016564	9.240954730315966	8.827235555656925	8.570377217283648
Rgs16	10.649959838790101	10.630797529447916	10.320202160212125	10.1545700311639	9.282056974599843	9.599733190510387	9.57940290735684	9.278177284390063
Atp2b4	9.117162976395251	8.991074241415873	8.25824575118202	8.153323015821371	6.992347633549986	7.304221670656679	7.28595060986348	7.024062695109537
Rgs2	7.547239389714183	7.436535561467812	7.4085030147674225	7.322127037522831	8.063296249281679	8.964161286868025	8.614743434541367	8.622892344381025
Lamc1	10.70224742175742	10.552901434764461	10.069299064550819	9.953794239725129	8.32966506431006	8.590776494037906	8.49962830017956	8.183736500797846
Atp1b1	6.386462894754476	6.339976795661855	6.5678293138142925	6.643871962437703	7.236072706999832	8.179827357516821	7.82225752759633	7.50244177254495
Stx11	10.675645759339208	10.490302776557527	9.495685532458488	9.463264249944656	8.284234723547447	8.639903799452048	8.505921661271428	8.290421820190334
Prdm1	9.176050000400714	9.015886566476627	7.875693085983958	7.6663348103492135	6.5033590077058685	6.374129725827748	6.423490822417543	6.44606767833422
Tspan31	10.426905623996923	10.40592998103553	9.78301343131875	9.728327976949604	8.871184951802316	9.129987982239076	8.891907839449377	8.863842637901985
Nsg2	7.270045324480755	7.365424745518734	7.6709308933618345	7.72541953707273	8.598995364349681	9.162470026006641	8.921951156396972	8.514672605445034
Gm2a	11.317776108492177	11.457603660240542	10.400377041636457	10.398170560096235	8.89356273581018	9.362260012944187	9.1175209404098	8.65102453742938
Itgae	10.908068378819886	10.95480638421311	10.399010875627768	10.139959164920061	7.51573061653213	7.844437703288624	7.481505737099779	7.576700563121907
Cep112	7.534501570099852	7.448731488588452	7.1884546364523025	7.090544286127287	6.316253677419838	6.241497022633654	6.435990915715402	6.254031308433013
Mdh1	11.304642110096168	11.166539710002098	10.842794421232066	10.870081547580533	9.575214089676958	10.3310226054404	10.191200420140223	9.682789968035307
Tcf7	8.127923111285764	8.155842195937613	8.884032264697991	8.87581663993613	9.704959419078476	10.219100864594555	9.964880484857817	9.699853401298476
Anxa6	11.751898371402998	11.666396203419762	11.136681944962127	11.032389638198238	10.128216254029624	10.456912534072753	10.092975233787673	9.645892368352726
Cpd	9.492589897377014	9.310534103675957	8.904386618824478	8.620236362864123	6.894576616699687	7.101761103803228	7.3447177488060875	7.105921577648254
Top2a	10.326456442665522	10.295760703283657	9.113053983244338	9.053606781347064	7.800407358660777	8.286604610990848	7.926261374319889	7.778600487194023
Ccr7	9.29360752523111	9.108965237228412	9.367355460865213	9.423489991246178	9.88159633974361	10.432321997966213	10.323770126590295	10.052845779557062
Lgals3bp	9.10967981743049	8.928897830758826	8.373974663230083	8.381822535621824	7.726499955828856	7.352138923064674	7.405192450303621	7.717673208773059
Evl	8.985041338002855	9.096408490761423	9.197884411110909	9.358587291232602	9.889994307958903	10.572776652203089	10.240480646398252	10.003068585604948
Id2	9.863252637437185	9.718521064059612	8.620287099044349	8.452518170380587	6.4738809109267494	6.77979002835675	6.270071722048558	6.255440711755584
Hdac9	6.652563281745321	6.816460048516698	7.299759538784921	7.277399888541385	7.912018495965457	7.98142924439908	7.939660199739362	7.951885333265844
Ahr	8.92201026613833	8.829376257961318	8.445949098475875	8.38459960869484	7.801838109088692	7.646251794355873	7.735082905350283	7.833779659723462
Actn1	7.853039059665886	7.630092668435323	8.39739782302576	8.246589380707299	9.59582063714103	10.174922526079403	9.9109979796706	9.570944810602336
